"","SalePrice","LotArea","OverallCond","YearBuilt","CentralAir","KitchenAbvGr","KitchenQual","Fireplaces"
"219",179500,8400,8,1939,"Y",1,"Gd",1
"220",120500,6900,6,1940,"Y",1,"TA",1
"221",148000,7917,7,1976,"Y",1,"TA",1
"222",241500,39104,7,1954,"Y",1,"TA",2
"223",290000,11764,7,1999,"Y",1,"Gd",1
"224",139000,9600,6,1958,"Y",1,"TA",1
"225",124500,8314,7,1982,"Y",1,"TA",1
"226",205000,7264,7,1925,"N",1,"Ex",1
"227",201000,9196,5,2003,"Y",1,"Gd",1
"228",141000,19138,5,1951,"Y",1,"TA",1
"229",192000,10005,5,1977,"Y",1,"TA",1
"230",228500,11287,6,1989,"Y",1,"Gd",1
"231",207500,5063,5,2007,"Y",1,"Gd",1
"232",179200,8012,5,1992,"Y",1,"Gd",1
"233",159000,9786,7,1962,"Y",1,"Gd",1
"234",88000,8125,4,1971,"Y",1,"TA",1
"235",122000,9819,5,1967,"Y",1,"TA",1
"236",153575,8730,7,1915,"Y",1,"TA",1
"237",135900,5687,6,1912,"N",1,"Fa",1
"238",131000,11409,4,1949,"Y",1,"TA",1
"239",235000,16659,7,1977,"Y",1,"Gd",1
"240",167000,9600,5,1953,"Y",1,"TA",2
"241",142500,7937,6,1984,"Y",1,"TA",1
"242",152000,13710,5,1950,"Y",1,"TA",1
"243",239000,7399,5,1997,"Y",1,"Gd",1
"244",175000,11700,6,1968,"Y",1,"TA",1
"245",157000,15750,5,1953,"Y",1,"TA",2
"246",267000,16226,5,1998,"Y",1,"Gd",1
"247",205000,13704,5,2001,"Y",1,"Gd",1
"248",295000,18386,9,1880,"Y",1,"Gd",1
"249",305900,10386,5,2004,"Y",1,"Gd",1
"250",225000,13474,5,1990,"Y",1,"Gd",1
"251",89500,7920,7,1920,"Y",1,"Fa",1
"252",82500,12342,5,1940,"Y",1,"TA",1
"253",360000,12378,5,2003,"Y",1,"Ex",3
"254",165600,7685,5,1993,"Y",1,"Gd",1
"255",132000,8000,6,1948,"Y",1,"TA",1
"256",119900,7800,7,1939,"Y",1,"TA",1
"257",375000,215245,5,1965,"Y",1,"TA",2
"258",178000,9600,7,1925,"Y",1,"Ex",1
"259",188500,7795,5,2004,"Y",1,"Gd",1
"260",260000,13005,7,1980,"Y",1,"Ex",1
"261",270000,9000,5,2006,"Y",1,"Gd",1
"262",260000,9900,5,1993,"Y",1,"Gd",1
"263",187500,14115,5,1980,"Y",1,"TA",2
"264",354000,12099,5,2004,"Y",1,"Gd",1
"265",301000,10380,5,1986,"Y",1,"Gd",1
"266",126175,5820,8,1955,"Y",1,"TA",1
"267",242000,11275,7,1967,"Y",1,"Gd",1
"268",87000,5000,6,1941,"N",1,"TA",1
"269",324000,10846,5,1993,"Y",1,"Gd",2
"270",145250,11600,5,1960,"Y",1,"TA",1
"271",214500,11888,6,1916,"N",1,"Gd",1
"272",78000,6402,5,1920,"N",1,"TA",1
"273",119000,10624,4,1964,"Y",2,"TA",1
"274",139000,8176,6,1958,"Y",1,"TA",1
"275",284000,10655,5,2003,"Y",1,"Gd",1
"276",207000,8198,5,2004,"Y",1,"Gd",1
"277",192000,9042,5,1998,"Y",1,"TA",2
"278",228950,164660,6,1965,"Y",1,"TA",2
"279",377426,14157,5,2005,"Y",1,"Gd",1
"280",214000,9135,5,2002,"Y",1,"Gd",1
"281",202500,14145,7,1984,"Y",1,"Gd",1
"282",155000,12400,7,1958,"Y",1,"TA",1
"283",202900,14191,5,2002,"Y",1,"Gd",1
"284",82000,8400,4,1950,"Y",1,"TA",1
"285",87500,8544,4,1949,"N",2,"TA",1
"286",266000,8849,5,2005,"Y",1,"Ex",1
"287",85000,2592,3,1976,"Y",1,"TA",1
"288",140200,6435,5,1939,"Y",1,"Fa",1
"289",151500,12772,8,1960,"Y",1,"TA",1
"290",157500,17600,5,1960,"Y",1,"TA",2
"291",154000,2448,5,2003,"Y",1,"Gd",1
"292",95000,9084,6,1941,"N",1,"TA",1
"293",105900,8520,8,1928,"Y",1,"TA",1
"294",140000,8400,5,1940,"Y",1,"TA",2
"295",177500,11249,5,1995,"Y",1,"Gd",1
"296",173000,9248,6,1992,"Y",1,"Gd",1
"297",134000,4224,5,1976,"Y",1,"TA",1
"298",280000,12011,5,1998,"Y",1,"Gd",1
"299",156000,7540,6,1978,"Y",1,"TA",1
"300",145000,9144,5,1940,"Y",1,"TA",1
"301",198500,7301,5,2003,"Y",1,"Gd",1
"302",118000,1680,8,1972,"Y",1,"Gd",1
"303",190000,18800,5,1976,"Y",1,"TA",1
"304",147000,10690,7,1920,"Y",1,"TA",1
"305",159000,9500,5,1963,"Y",1,"TA",2
"306",165000,9150,5,1962,"Y",1,"TA",1
"307",132000,7800,6,1954,"Y",1,"TA",1
"308",162000,9830,7,1959,"Y",1,"Gd",1
"309",172400,8121,5,2000,"Y",1,"TA",1
"310",134432,17120,4,1959,"Y",1,"TA",1
"311",125000,7175,5,1984,"Y",1,"TA",1
"312",123000,10634,6,1953,"Y",1,"TA",1
"313",219500,8200,5,2003,"Y",1,"Gd",1
"314",61000,10020,1,1922,"N",1,"Fa",1
"315",148000,8846,5,1996,"Y",1,"TA",1
"316",340000,11143,5,2004,"Y",1,"Gd",1
"317",179000,8123,5,2000,"Y",1,"TA",1
"318",127000,5000,6,1924,"Y",1,"Gd",1
"319",213500,9245,5,2006,"Y",1,"Gd",1
"320",76000,9000,3,1928,"N",1,"TA",1
"321",240000,53107,5,1992,"Y",1,"Gd",2
"322",192000,3182,5,2004,"Y",1,"Gd",1
"323",191000,9382,5,1999,"Y",1,"Gd",1
"324",119000,8405,8,1900,"Y",1,"TA",1
"325",215000,12209,5,2001,"Y",1,"Gd",1
"326",106500,8339,7,1959,"Y",1,"TA",1
"327",109000,10134,6,1940,"Y",1,"TA",1
"328",129000,9571,6,1956,"Y",1,"TA",1
"329",123000,7200,5,1972,"Y",1,"TA",1
"330",169500,7590,5,1962,"Y",1,"TA",1
"331",241000,8125,5,2006,"Y",1,"Gd",1
"332",245500,14963,5,1996,"Y",1,"Ex",2
"333",108000,10200,8,1940,"Y",1,"TA",1
"334",168000,10364,5,1995,"Y",1,"TA",1
"335",150000,9991,4,1976,"Y",1,"TA",1
"336",115000,10480,5,1936,"Y",1,"TA",1
"337",177000,15576,7,1915,"Y",1,"TA",1
"338",145000,34650,5,1955,"N",1,"TA",1
"339",115000,8960,6,1927,"Y",1,"TA",1
"340",228000,11228,5,1993,"Y",1,"Gd",1
"341",149500,7844,7,1978,"Y",1,"TA",1
"342",239000,22420,6,1918,"N",1,"TA",1
"343",142000,8450,6,1968,"Y",1,"TA",1
"344",215000,16635,7,1977,"Y",1,"Gd",1
"345",113000,21750,5,1954,"Y",1,"TA",1
"346",315000,9200,5,1998,"Y",1,"Gd",1
"347",139000,9000,5,1956,"Y",1,"TA",1
"348",135000,3378,8,1946,"Y",1,"TA",2
"349",275000,12800,5,1989,"Y",1,"Gd",1
"350",109008,8593,6,1957,"Y",1,"TA",1
"351",175000,11457,5,1988,"Y",1,"Gd",1
"352",122500,1920,5,1971,"Y",1,"TA",1
"353",181000,10839,5,1997,"Y",1,"TA",1
"354",81000,1890,7,1972,"Y",1,"TA",1
"355",212000,10667,6,1996,"Y",1,"Gd",1
"356",116000,4400,8,1920,"Y",1,"TA",1
"357",119000,6000,7,1926,"Y",1,"TA",1
"358",90350,4280,6,1913,"N",1,"Gd",1
"359",110000,12354,8,1920,"Y",1,"Gd",1
"360",555000,15431,5,2008,"Y",1,"Ex",2
"361",118000,12108,4,1955,"N",2,"Fa",1
"362",162900,6240,7,1930,"Y",1,"TA",1
"363",210000,8750,5,1994,"Y",1,"Gd",1
"364",127500,9855,5,1956,"Y",1,"TA",1
"365",190000,16492,6,1966,"Y",1,"Gd",1
"366",199900,11214,5,1998,"Y",1,"Gd",1
"367",119500,8600,6,1937,"Y",1,"TA",1
"368",120000,6000,7,1948,"Y",1,"TA",1
"369",110000,5684,8,1930,"Y",1,"Gd",1
"370",280000,70761,5,1975,"Y",1,"Gd",2
"371",204000,9303,5,1996,"Y",1,"TA",1
"372",210000,9000,5,2008,"Y",1,"Gd",1
"373",175500,9600,6,1973,"Y",1,"TA",1
"374",256000,53227,6,1954,"Y",1,"Gd",2
"375",161000,5100,7,1925,"Y",1,"Gd",1
"376",110000,7015,4,1950,"Y",1,"Gd",1
"377",155000,7200,9,1936,"Y",1,"Gd",1
"378",62383,8281,5,1965,"Y",1,"TA",1
"379",188700,11988,7,1934,"Y",1,"TA",1
"380",124000,8430,5,1978,"Y",1,"TA",1
"381",178740,3072,5,2004,"Y",1,"Gd",1
"382",167000,10628,5,1970,"Y",1,"TA",1
"383",146500,9480,7,1942,"Y",1,"Gd",2
"384",250000,11428,5,2006,"Y",1,"Gd",1
"385",187000,9291,5,1993,"Y",1,"Gd",1
"386",212000,6820,5,1985,"Y",1,"Gd",1
"387",190000,11952,6,1977,"Y",1,"TA",1
"388",148000,3675,5,2005,"Y",1,"TA",1
"389",251000,5330,5,2000,"Y",1,"Ex",1
"390",132500,8480,6,1963,"Y",1,"TA",1
"391",208900,13125,5,1997,"Y",1,"Gd",1
"392",380000,13693,5,2006,"Y",1,"Ex",1
"393",297000,10637,5,2007,"Y",1,"Gd",1
"394",326000,16033,5,2004,"Y",1,"Gd",1
"395",374000,11846,5,2003,"Y",1,"Ex",1
"396",155000,2500,8,1915,"Y",1,"Ex",1
"397",164000,4500,5,1998,"Y",1,"TA",1
"398",132500,7758,7,1962,"Y",1,"Gd",1
"399",147000,9600,7,1950,"Y",1,"Gd",1
"400",156000,10289,7,1965,"Y",1,"TA",1
"401",175000,12243,6,1971,"Y",1,"TA",1
"402",160000,10800,4,1900,"N",2,"TA",1
"403",86000,1526,8,1970,"Y",1,"Gd",1
"404",115000,2665,6,1976,"Y",1,"TA",1
"405",133000,9490,7,1941,"Y",1,"Fa",2
"406",155000,7931,6,1960,"Y",1,"TA",1
"407",91300,5784,8,1938,"Y",1,"TA",1
"408",430000,12692,5,1992,"Y",1,"Gd",1
"409",184000,9120,6,1925,"Y",1,"TA",1
"410",130000,7800,7,1967,"Y",1,"Gd",1
"411",120000,7535,7,1958,"Y",1,"TA",1
"412",113000,1890,5,1973,"Y",1,"TA",1
"413",226700,9803,5,2005,"Y",1,"Gd",1
"414",140000,9170,7,1965,"Y",1,"TA",1
"415",289000,15602,8,1959,"Y",1,"TA",2
"416",147000,2308,5,1974,"Y",1,"TA",1
"417",124500,7596,5,1952,"Y",2,"TA",1
"418",215000,9554,5,1993,"Y",1,"Gd",1
"419",161000,9600,9,1928,"Y",1,"Gd",1
"420",124500,9600,6,1959,"Y",1,"TA",1
"421",164900,14559,7,1951,"Y",1,"TA",2
"422",129900,9100,5,1958,"Y",1,"TA",1
"423",134000,9187,5,1983,"Y",1,"TA",1
"424",96500,10594,5,1926,"N",1,"TA",1
"425",265000,10208,5,1996,"Y",1,"Gd",1
"426",211000,9531,5,1998,"Y",1,"TA",1
"427",234000,10918,9,1926,"Y",1,"Gd",2
"428",106250,10800,7,1900,"N",2,"TA",1
"429",150000,11988,6,1957,"Y",1,"TA",2
"430",159000,5000,7,1947,"Y",1,"TA",2
"431",315750,11787,5,1996,"Y",1,"Gd",1
"432",176000,7500,5,2005,"Y",1,"Gd",1
"433",132000,13300,7,1956,"Y",1,"TA",1
"434",86000,9098,7,1920,"Y",1,"TA",1
"435",128000,6155,8,1920,"Y",1,"TA",1
"436",107500,7200,7,1955,"Y",1,"TA",1
"437",39300,5000,3,1946,"N",1,"Fa",1
"438",178000,9056,5,2004,"Y",1,"Gd",1
"439",107500,7000,7,1910,"Y",1,"TA",1
"440",188000,8924,5,1998,"Y",1,"Gd",1
"441",111250,12735,5,1972,"Y",1,"TA",1
"442",158000,11553,5,1968,"Y",1,"TA",1
"443",272000,11423,5,2001,"Y",1,"Gd",1
"444",315000,14601,5,2006,"Y",1,"Ex",1
"445",248000,11000,5,2000,"Y",1,"Gd",1
"446",213250,10140,5,1998,"Y",1,"Gd",1
"447",133000,4058,5,1998,"Y",1,"TA",1
"448",229000,13837,5,1988,"Y",1,"Gd",1
"449",210000,8737,7,1923,"Y",1,"TA",1
"450",129500,7244,7,1970,"Y",1,"TA",1
"451",125000,8235,7,1955,"Y",1,"TA",1
"452",263000,9375,5,2003,"Y",1,"Gd",1
"453",112500,6000,6,1957,"Y",1,"TA",1
"454",255500,11146,5,2006,"Y",1,"Gd",1
"455",108000,8777,5,1949,"Y",1,"Gd",1
"456",284000,10625,5,2003,"Y",1,"Gd",1
"457",113000,6380,6,1922,"Y",1,"TA",1
"458",141000,14850,5,1957,"Y",1,"TA",1
"459",108000,11040,6,1920,"Y",1,"TA",1
"460",175000,21872,5,1996,"Y",1,"TA",1
"461",234000,3196,5,2003,"Y",1,"Gd",1
"462",121500,11341,6,1957,"Y",1,"TA",1
"463",170000,10010,5,1974,"Y",1,"TA",1
"464",108000,13907,6,1940,"Y",1,"TA",1
"465",185000,21780,7,1918,"Y",1,"TA",1
"466",268000,13346,5,1992,"Y",1,"Gd",1
"467",128000,6858,4,1915,"N",1,"Fa",1
"468",325000,11198,5,2005,"Y",1,"Ex",1
"469",214000,10171,5,2004,"Y",1,"Gd",1
"470",316600,12327,8,1983,"Y",1,"Gd",1
"471",135960,7032,5,1979,"Y",1,"TA",2
"472",142600,13101,5,1965,"Y",2,"TA",1
"473",170000,9967,5,2000,"Y",1,"TA",1
"474",139000,10500,7,1971,"Y",1,"TA",1
"475",145000,6292,7,1928,"Y",1,"TA",1
"476",131500,12150,5,1954,"N",1,"TA",1
"477",181900,14585,6,1960,"Y",1,"Gd",2
"478",118500,11841,5,1990,"Y",1,"TA",1
"479",325000,13500,9,1893,"Y",1,"Gd",1
"480",133000,6120,7,1935,"Y",1,"Gd",1
"481",130000,10267,7,1918,"Y",1,"Fa",1
"482",137000,8740,6,1982,"Y",1,"TA",1
"483",79500,9100,6,1930,"Y",1,"TA",1
"484",185900,8320,5,2004,"Y",1,"Gd",1
"485",451950,13478,5,2008,"Y",1,"Ex",1
"486",138000,6600,8,1982,"Y",1,"TA",1
"487",140000,4435,5,2003,"Y",1,"Gd",1
"488",110000,7990,6,1975,"Y",1,"TA",1
"489",114504,3600,7,1910,"N",1,"TA",1
"490",217500,12984,6,1977,"Y",1,"Gd",1
"491",151000,1950,6,1980,"Y",1,"TA",1
"492",275000,10927,5,2005,"Y",1,"Ex",1
"493",141000,9000,6,1937,"Y",1,"Gd",1
"494",151000,3182,5,2004,"Y",1,"Gd",1
"495",221000,12803,5,2002,"Y",1,"Gd",1
"496",205000,13600,6,1965,"Y",1,"TA",3
"497",152000,12464,5,1996,"Y",1,"Gd",1
"498",225000,7800,8,1948,"Y",1,"Ex",1
"499",118500,7943,5,1961,"Y",1,"TA",1
"500",313000,11050,5,2000,"Y",1,"Ex",2
"501",148000,10395,6,1978,"Y",1,"TA",1
"502",261500,11885,5,2001,"Y",1,"Ex",1
"503",75500,1491,6,1972,"Y",1,"TA",1
"504",183200,7861,5,2002,"Y",1,"Gd",1
"505",105500,7227,6,1954,"Y",1,"Gd",1
"506",305000,12244,5,2003,"Y",1,"Gd",2
"507",67000,8248,3,1914,"N",1,"TA",1
"508",240000,10800,7,1974,"Y",1,"TA",1
"509",135000,7064,6,1977,"Y",1,"TA",1
"510",168500,2117,5,2000,"Y",1,"Gd",1
"511",165150,10400,5,1972,"Y",1,"TA",1
"512",160000,10000,6,1962,"Y",1,"TA",1
"513",139900,12342,5,1960,"Y",1,"TA",1
"514",153000,9600,6,1955,"Y",1,"TA",2
"515",168500,9020,5,1964,"Y",1,"TA",1
"516",209500,4590,5,2006,"Y",1,"Gd",1
"517",139400,9250,7,1954,"Y",1,"TA",1
"518",144000,6979,5,1980,"Y",2,"TA",1
"519",60000,6120,3,1936,"N",1,"Fa",1
"520",93000,6000,4,1954,"Y",2,"Gd",1
"521",85000,8777,7,1910,"Y",1,"TA",1
"522",274000,12677,5,2003,"Y",1,"Ex",1
"523",226000,7050,5,2001,"Y",1,"Gd",1
"524",345000,13860,7,1972,"Y",1,"Ex",3
"525",152000,10793,5,1969,"Y",1,"TA",1
"526",143250,10530,5,1971,"Y",1,"TA",1
